"Wavelength","rsr","stdev"
666,0.964002,0.003527
667,0.962154,0.005339
668,0.970778,0.004927
669,0.96718,0.006328
670,0.966928,0.006656
671,0.949928,0.00706
672,0.848855,0.01626
673,0.609359,0.030857
674,0.31635,0.028364
675,0.123946,0.013726
676,0.046033,0.00511
677,0.017702,0.001898
678,0.007333,0.000848
842,0.007059,0.000619
843,0.0109,0.000891
844,0.017346,0.001476
845,0.028332,0.002597
846,0.048191,0.00496
847,0.084363,0.009759
848,0.145365,0.017633
849,0.249733,0.030303
850,0.403526,0.043919
851,0.582623,0.049135
852,0.745037,0.036772
853,0.890315,0.020756
854,0.960215,0.006474
855,0.986833,0.00408
856,0.973133,0.006221
857,0.980606,0.004677
858,0.99612,0.002223
859,1,0.001416
860,0.989777,0.003135
861,0.980733,0.003784
862,0.975935,0.005028
863,0.972043,0.005596
864,0.957357,0.00745
865,0.951209,0.007991
866,0.947044,0.009135
867,0.953162,0.008585
868,0.951499,0.009336
869,0.94845,0.00919
870,0.940094,0.010652
871,0.950632,0.010052
872,0.956079,0.009926
873,0.96646,0.009416
874,0.969821,0.008139
875,0.93661,0.011572
876,0.891066,0.017599
877,0.788733,0.025606
878,0.63532,0.032347
879,0.448364,0.032288
880,0.288847,0.025616
881,0.174619,0.017249
882,0.100343,0.010665
883,0.058265,0.006255
884,0.034532,0.003632
885,0.02072,0.002106
886,0.01244,0.001285
887,0.007601,0.000796
1535,0.005528,0.000777
1536,0.006421,0.000866
1537,0.007319,0.000958
1538,0.008459,0.001027
1539,0.009606,0.001093
1540,0.010989,0.001211
1541,0.012372,0.001335
1542,0.014303,0.001563
1543,0.016248,0.00181
1544,0.019029,0.002097
1545,0.021831,0.00239
1546,0.02589,0.002807
1547,0.029952,0.003242
1548,0.035171,0.003783
1549,0.040434,0.004346
1550,0.047864,0.005106
1551,0.055352,0.005904
1552,0.065732,0.00694
1553,0.076166,0.008018
1554,0.089024,0.009263
1555,0.101893,0.010535
1556,0.12015,0.012195
1557,0.138642,0.01394
1558,0.163127,0.016013
1559,0.187803,0.018152
1560,0.220261,0.020623
1561,0.252894,0.023155
1562,0.291359,0.025655
1563,0.329939,0.02815
1564,0.375648,0.030539
1565,0.42147,0.032911
1566,0.47356,0.034399
1567,0.525681,0.035761
1568,0.578787,0.036445
1569,0.631645,0.037039
1570,0.676683,0.036885
1571,0.721282,0.036641
1572,0.75477,0.036419
1573,0.788248,0.0362
1574,0.821155,0.035596
1575,0.854065,0.034925
1576,0.87337,0.034948
1577,0.89183,0.035139
1578,0.899817,0.03545
1579,0.907252,0.03579
1580,0.913009,0.035712
1581,0.918685,0.035542
1582,0.922953,0.035156
1583,0.927163,0.034724
1584,0.92686,0.034222
1585,0.926413,0.033706
1586,0.925059,0.033002
1587,0.923683,0.032261
1588,0.923953,0.031328
1589,0.924259,0.030358
1590,0.922828,0.029627
1591,0.921383,0.028939
1592,0.922061,0.028202
1593,0.922756,0.027457
1594,0.924648,0.026995
1595,0.926605,0.026579
1596,0.934552,0.025261
1597,0.942525,0.023804
1598,0.944351,0.022906
1599,0.945872,0.022135
1600,0.946175,0.021942
1601,0.946432,0.021875
1602,0.947006,0.021696
1603,0.947589,0.021493
1604,0.950194,0.020646
1605,0.952859,0.019671
1606,0.951303,0.019684
1607,0.94967,0.01988
1608,0.953047,0.019013
1609,0.956494,0.017959
1610,0.959047,0.017091
1611,0.961545,0.016268
1612,0.960048,0.015908
1613,0.958335,0.015656
1614,0.959835,0.015412
1615,0.96147,0.015171
1616,0.960857,0.015212
1617,0.960175,0.01531
1618,0.960813,0.015383
1619,0.961486,0.015452
1620,0.964703,0.01474
1621,0.967943,0.013896
1622,0.969314,0.013496
1623,0.970589,0.013199
1624,0.973713,0.012518
1625,0.976906,0.011756
1626,0.9791,0.011003
1627,0.981258,0.010251
1628,0.981285,0.009611
1629,0.981372,0.008991
1630,0.988609,0.006777
1631,0.995869,0.004322
1632,0.998021,0.003536
1633,1,0.003091
1634,0.999848,0.003227
1635,0.999642,0.003468
1636,0.99659,0.004207
1637,0.993439,0.005025
1638,0.986217,0.007026
1639,0.978989,0.009186
1640,0.967125,0.011401
1641,0.95512,0.013627
1642,0.936199,0.016461
1643,0.917239,0.01939
1644,0.879424,0.023739
1645,0.840967,0.028379
1646,0.796545,0.03171
1647,0.751893,0.03481
1648,0.694313,0.037056
1649,0.636542,0.039176
1650,0.573232,0.039551
1651,0.509946,0.039712
1652,0.451966,0.03776
1653,0.39403,0.035456
1654,0.34275,0.032309
1655,0.291752,0.028982
1656,0.251309,0.025491
1657,0.211153,0.02197
1658,0.180823,0.019144
1659,0.15054,0.016426
1660,0.128463,0.013903
1661,0.106664,0.011419
1662,0.090735,0.009561
1663,0.074941,0.007811
1664,0.06379,0.006535
1665,0.052752,0.005326
1666,0.045028,0.004448
1667,0.03731,0.003609
1668,0.031821,0.00305
1669,0.02635,0.002537
1670,0.022504,0.002155
1671,0.018724,0.001801
1672,0.016045,0.001555
1673,0.013394,0.00133
1674,0.011483,0.001168
1675,0.009587,0.001016
1676,0.008227,0.00091
1677,0.006882,0.00081
1678,0.00591,0.000778
2065,0.005137,0.000881
2066,0.005728,0.00095
2067,0.006337,0.001022
2068,0.007139,0.001106
2069,0.007996,0.001198
2070,0.008903,0.001305
2071,0.009824,0.00142
2072,0.011005,0.001563
2073,0.012261,0.001723
2074,0.01361,0.001906
2075,0.014987,0.002104
2076,0.016872,0.002331
2077,0.018899,0.002576
2078,0.021,0.002874
2079,0.023121,0.003204
2080,0.025897,0.003586
2081,0.028847,0.003999
2082,0.032071,0.004518
2083,0.035363,0.005101
2084,0.040206,0.005681
2085,0.045432,0.006259
2086,0.050903,0.006982
2087,0.056429,0.007784
2088,0.06327,0.008776
2089,0.070409,0.00987
2090,0.079382,0.011083
2091,0.088907,0.012376
2092,0.10064,0.013828
2093,0.11283,0.015364
2094,0.128292,0.017088
2095,0.144668,0.018931
2096,0.162055,0.020973
2097,0.179714,0.023137
2098,0.20278,0.025348
2099,0.227234,0.027585
2100,0.253732,0.029746
2101,0.280925,0.031851
2102,0.311347,0.033978
2103,0.342526,0.036118
2104,0.377044,0.037944
2105,0.412621,0.039558
2106,0.45047,0.040587
2107,0.488816,0.041309
2108,0.522458,0.042146
2109,0.554715,0.043056
2110,0.593227,0.043047
2111,0.633521,0.042456
2112,0.663067,0.042467
2113,0.689664,0.04285
2114,0.722284,0.042668
2115,0.756529,0.042143
2116,0.776463,0.042754
2117,0.792667,0.044037
2118,0.813716,0.044047
2119,0.836001,0.043313
2120,0.846344,0.043678
2121,0.853714,0.044674
2122,0.867845,0.044309
2123,0.883615,0.043172
2124,0.886411,0.043482
2125,0.886127,0.044601
2126,0.895232,0.043821
2127,0.906527,0.041991
2128,0.909739,0.041297
2129,0.911091,0.041227
2130,0.917985,0.039531
2131,0.926131,0.036955
2132,0.929693,0.035871
2133,0.932227,0.035589
2134,0.936544,0.034456
2135,0.941406,0.03275
2136,0.942571,0.031929
2137,0.942952,0.031576
2138,0.943112,0.031307
2139,0.943194,0.031095
2140,0.945168,0.030791
2141,0.947537,0.030441
2142,0.948776,0.030067
2143,0.949694,0.029676
2144,0.949643,0.029863
2145,0.9494,0.030346
2146,0.952551,0.029591
2147,0.956635,0.028044
2148,0.953083,0.027911
2149,0.947423,0.028671
2150,0.949094,0.028659
2151,0.952773,0.028166
2152,0.950874,0.028248
2153,0.947477,0.028684
2154,0.947014,0.02887
2155,0.947085,0.028937
2156,0.951812,0.028491
2157,0.957717,0.027741
2158,0.953332,0.028402
2159,0.946412,0.029876
2160,0.947778,0.030047
2161,0.951119,0.029486
2162,0.951641,0.029167
2163,0.951518,0.02898
2164,0.948644,0.029451
2165,0.944956,0.030358
2166,0.942515,0.030808
2167,0.940311,0.031028
2168,0.9434,0.030694
2169,0.947923,0.030021
2170,0.94501,0.030125
2171,0.940213,0.030688
2172,0.938737,0.030975
2173,0.93806,0.031106
2174,0.941859,0.030493
2175,0.947019,0.029379
2176,0.946554,0.029318
2177,0.944482,0.029928
2178,0.947414,0.03
2179,0.951661,0.029747
2180,0.949283,0.030077
2181,0.945318,0.030737
2182,0.939939,0.031586
2183,0.934142,0.03256
2184,0.935493,0.03274
2185,0.93882,0.032423
2186,0.939253,0.032362
2187,0.938955,0.032449
2188,0.934675,0.033037
2189,0.929162,0.033966
2190,0.927085,0.034256
2191,0.925692,0.034224
2192,0.930508,0.034071
2193,0.936899,0.033847
2194,0.933908,0.033814
2195,0.927984,0.033911
2196,0.930981,0.03383
2197,0.936472,0.033638
2198,0.935776,0.034233
2199,0.933523,0.035287
2200,0.935132,0.036014
2201,0.937592,0.036566
2202,0.946217,0.036416
2203,0.956567,0.035832
2204,0.955661,0.035602
2205,0.951991,0.035575
2206,0.956666,0.035443
2207,0.963135,0.035254
2208,0.964442,0.035252
2209,0.964365,0.035366
2210,0.963523,0.03523
2211,0.962434,0.034919
2212,0.962905,0.034839
2213,0.963685,0.03488
2214,0.962473,0.03505
2215,0.960741,0.035299
2216,0.959239,0.035354
2217,0.957814,0.035273
2218,0.957781,0.035346
2219,0.958041,0.035499
2220,0.953274,0.035688
2221,0.94716,0.035898
2222,0.951706,0.036116
2223,0.958833,0.036338
2224,0.960212,0.036443
2225,0.960339,0.036488
2226,0.954785,0.036105
2227,0.947696,0.035458
2228,0.951965,0.035381
2229,0.95906,0.035632
2230,0.960554,0.035868
2231,0.960764,0.036095
2232,0.95575,0.036017
2233,0.949261,0.035744
2234,0.953245,0.035822
2235,0.95997,0.036111
2236,0.963736,0.036096
2237,0.966786,0.035911
2238,0.964315,0.035862
2239,0.960173,0.035903
2240,0.965473,0.035317
2241,0.973416,0.034337
2242,0.977637,0.033715
2243,0.980904,0.033303
2244,0.98276,0.032686
2245,0.984155,0.031926
2246,0.984693,0.031575
2247,0.985056,0.031438
2248,0.991486,0.0303
2249,0.9996,0.028541
2250,0.997654,0.028154
2251,0.993153,0.028567
2252,0.992469,0.028563
2253,0.992675,0.02833
2254,0.995894,0.027991
2255,1,0.027582
2256,0.999279,0.028024
2257,0.997261,0.028982
2258,0.994356,0.029725
2259,0.991127,0.030316
2260,0.987747,0.030653
2261,0.984349,0.030856
2262,0.986037,0.030744
2263,0.989132,0.030435
2264,0.984536,0.031023
2265,0.978024,0.032128
2266,0.975019,0.032786
2267,0.972794,0.033206
2268,0.974168,0.033307
2269,0.97654,0.03321
2270,0.976199,0.033664
2271,0.975206,0.034432
2272,0.974409,0.035514
2273,0.973662,0.036804
2274,0.967502,0.038094
2275,0.959895,0.039383
2276,0.956943,0.040161
2277,0.955095,0.04066
2278,0.955085,0.04139
2279,0.955588,0.042265
2280,0.947195,0.042854
2281,0.93665,0.043281
2282,0.922405,0.044229
2283,0.907109,0.04551
2284,0.89494,0.0492
2285,0.883588,0.054275
2286,0.855489,0.058387
2287,0.823876,0.062007
2288,0.78488,0.06587
2289,0.744025,0.069872
2290,0.69852,0.072233
2291,0.651673,0.073539
2292,0.602539,0.073725
2293,0.552647,0.073113
2294,0.502693,0.071361
2295,0.452698,0.069035
2296,0.403993,0.065325
2297,0.355569,0.06084
2298,0.315712,0.055563
2299,0.27826,0.049795
2300,0.244645,0.044589
2301,0.212213,0.039765
2302,0.186151,0.035221
2303,0.161749,0.030846
2304,0.141435,0.027042
2305,0.122015,0.023537
2306,0.106531,0.020477
2307,0.092029,0.017673
2308,0.080268,0.015305
2309,0.069276,0.013213
2310,0.060703,0.011478
2311,0.052702,0.009942
2312,0.046332,0.008655
2313,0.040405,0.00752
2314,0.035634,0.006594
2315,0.031213,0.005808
2316,0.027516,0.005148
2317,0.024,0.004561
2318,0.021262,0.004108
2319,0.018688,0.003724
2320,0.016562,0.00336
2321,0.014545,0.003006
2322,0.01293,0.002732
2323,0.011426,0.002506
2324,0.010155,0.002327
2325,0.008959,0.00218
2326,0.007992,0.002057
2327,0.007088,0.001948
2328,0.006348,0.001855
2329,0.005643,0.001772
2330,0.005019,0.001686
